Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
2		2	0.00	1.00	0.00		WAYNE Y LEE	2012	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		CHRISTOS IOANNIDIS	2012	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		ANDREA MAZZON	2018	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ADAMNELU ALTARSAMUEL	2014	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		CHRISTOPH AYMANNS	2015	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		LUC LAEVEN	2010	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		DIANE PIERRET	2014	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		JOHN GEANAKOPLOS	2012	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		DUK HEE LEE	2018	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		DAVID MELKUEV	2018	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		DANIEL FRICKE	2015	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		ERIC VAN WINCOOP	2013	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		DIMITRIS KENOURGIOS	2016	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		AIDA BARKAUSKAITE	2018	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		BRYAN KELLY	2016	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		C GOURIEROUX	2012	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		GABRIELE TEDESCHI	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		BERTRAND MAILLET	2016	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		AMANJOT SINGH	2016	<html><b>...</b></html>	SO	0	0	1		
2		3	0.00	1.00	0.00		DONGLEI DU	2018	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		DAYONG ZHANG	2019	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		JOHN M DOOLEY	2015	<html><b>...</b></html>	SO	0	0	0		
